-------------------------------------------------------------------
Date: 7/2/2013 -- 15:29:17 (uptime: 0d, 00h 00m 28s)
-------------------------------------------------------------------
Counter                   | TM Name                   | Value
decoder.ipv4              | AFPacketeth36             | 1201362
decoder.ipv6              | AFPacketeth36             | 41538
decoder.ethernet          | AFPacketeth36             | 1200080
decoder.raw               | AFPacketeth36             | 0
decoder.sll               | AFPacketeth36             | 0
decoder.tcp               | AFPacketeth36             | 540732
decoder.udp               | AFPacketeth36             | 675588
decoder.sctp              | AFPacketeth36             | 0
decoder.icmpv4            | AFPacketeth36             | 5084
decoder.icmpv6            | AFPacketeth36             | 1622
decoder.ppp               | AFPacketeth36             | 671
decoder.pppoe             | AFPacketeth36             | 0
decoder.gre               | AFPacketeth36             | 689
decoder.vlan              | AFPacketeth36             | 0
decoder.teredo            | AFPacketeth36             | 39653
decoder.ipv4_in_ipv6      | AFPacketeth36             | 0
decoder.ipv6_in_ipv6      | AFPacketeth36             | 0
decoder.avg_pkt_size      | AFPacketeth36             | 782
decoder.max_pkt_size      | AFPacketeth36             | 1514
defrag.ipv4.fragments     | AFPacketeth36             | 7531
defrag.ipv4.reassembled   | AFPacketeth36             | 1541
defrag.ipv4.timeouts      | AFPacketeth36             | 0
defrag.ipv6.fragments     | AFPacketeth36             | 1657
defrag.ipv6.reassembled   | AFPacketeth36             | 441
defrag.ipv6.timeouts      | AFPacketeth36             | 0
defrag.max_frag_hits      | AFPacketeth36             | 0
tcp.sessions              | AFPacketeth36             | 21548
tcp.ssn_memcap_drop       | AFPacketeth36             | 0
tcp.pseudo                | AFPacketeth36             | 313
tcp.invalid_checksum      | AFPacketeth36             | 0
tcp.no_flow               | AFPacketeth36             | 0
tcp.reused_ssn            | AFPacketeth36             | 12
tcp.memuse                | AFPacketeth36             | 47136160
tcp.syn                   | AFPacketeth36             | 17836
tcp.synack                | AFPacketeth36             | 6229
tcp.rst                   | AFPacketeth36             | 4598
tcp.segment_memcap_drop   | AFPacketeth36             | 187358
tcp.stream_depth_reached  | AFPacketeth36             | 0
tcp.reassembly_memuse     | AFPacketeth36             | 17179919069
tcp.reassembly_gap        | AFPacketeth36             | 111
detect.alert              | AFPacketeth36             | 16
capture.kernel_packets    | AFPacketeth37             | 1787280
capture.kernel_drops      | AFPacketeth37             | 287311
decoder.pkts              | AFPacketeth37             | 1200080
decoder.bytes             | AFPacketeth37             | 909680975
decoder.ipv4              | AFPacketeth37             | 1201130
decoder.ipv6              | AFPacketeth37             | 50394
decoder.ethernet          | AFPacketeth37             | 1200080
decoder.raw               | AFPacketeth37             | 0
decoder.sll               | AFPacketeth37             | 0
decoder.tcp               | AFPacketeth37             | 498232
decoder.udp               | AFPacketeth37             | 733843
decoder.sctp              | AFPacketeth37             | 0
decoder.icmpv4            | AFPacketeth37             | 5211
decoder.icmpv6            | AFPacketeth37             | 1672
decoder.ppp               | AFPacketeth37             | 115
decoder.pppoe             | AFPacketeth37             | 0
decoder.gre               | AFPacketeth37             | 376
decoder.vlan              | AFPacketeth37             | 0
decoder.teredo            | AFPacketeth37             | 48640
decoder.ipv4_in_ipv6      | AFPacketeth37             | 0
decoder.ipv6_in_ipv6      | AFPacketeth37             | 0
decoder.avg_pkt_size      | AFPacketeth37             | 758
decoder.max_pkt_size      | AFPacketeth37             | 1514
defrag.ipv4.fragments     | AFPacketeth37             | 5865
defrag.ipv4.reassembled   | AFPacketeth37             | 1055
defrag.ipv4.timeouts      | AFPacketeth37             | 0
defrag.ipv6.fragments     | AFPacketeth37             | 527
defrag.ipv6.reassembled   | AFPacketeth37             | 158
defrag.ipv6.timeouts      | AFPacketeth37             | 0
defrag.max_frag_hits      | AFPacketeth37             | 0
tcp.sessions              | AFPacketeth37             | 23645
tcp.ssn_memcap_drop       | AFPacketeth37             | 0
tcp.pseudo                | AFPacketeth37             | 271
tcp.invalid_checksum      | AFPacketeth37             | 0
tcp.no_flow               | AFPacketeth37             | 0
tcp.reused_ssn            | AFPacketeth37             | 16
tcp.memuse                | AFPacketeth37             | 45045472
tcp.syn                   | AFPacketeth37             | 18362
tcp.synack                | AFPacketeth37             | 6557
tcp.rst                   | AFPacketeth37             | 4576
tcp.segment_memcap_drop   | AFPacketeth37             | 166020
tcp.stream_depth_reached  | AFPacketeth37             | 0
tcp.reassembly_memuse     | AFPacketeth37             | 17179918620
tcp.reassembly_gap        | AFPacketeth37             | 83
detect.alert              | AFPacketeth37             | 20
capture.kernel_packets    | AFPacketeth38             | 1867159
capture.kernel_drops      | AFPacketeth38             | 366983
decoder.pkts              | AFPacketeth38             | 1200080
decoder.bytes             | AFPacketeth38             | 929517258
decoder.ipv4              | AFPacketeth38             | 1203649
decoder.ipv6              | AFPacketeth38             | 54165
decoder.ethernet          | AFPacketeth38             | 1200080
decoder.raw               | AFPacketeth38             | 0
decoder.sll               | AFPacketeth38             | 0
decoder.tcp               | AFPacketeth38             | 505878
decoder.udp               | AFPacketeth38             | 718984
decoder.sctp              | AFPacketeth38             | 0
decoder.icmpv4            | AFPacketeth38             | 4937
decoder.icmpv6            | AFPacketeth38             | 1588
decoder.ppp               | AFPacketeth38             | 128
decoder.pppoe             | AFPacketeth38             | 0
decoder.gre               | AFPacketeth38             | 1801
decoder.vlan              | AFPacketeth38             | 0
decoder.teredo            | AFPacketeth38             | 53112
decoder.ipv4_in_ipv6      | AFPacketeth38             | 0
decoder.ipv6_in_ipv6      | AFPacketeth38             | 0
decoder.avg_pkt_size      | AFPacketeth38             | 775
decoder.max_pkt_size      | AFPacketeth38             | 1514
defrag.ipv4.fragments     | AFPacketeth38             | 10759
defrag.ipv4.reassembled   | AFPacketeth38             | 2291
defrag.ipv4.timeouts      | AFPacketeth38             | 0
defrag.ipv6.fragments     | AFPacketeth38             | 1033
defrag.ipv6.reassembled   | AFPacketeth38             | 313
defrag.ipv6.timeouts      | AFPacketeth38             | 0
defrag.max_frag_hits      | AFPacketeth38             | 0
tcp.sessions              | AFPacketeth38             | 21888
tcp.ssn_memcap_drop       | AFPacketeth38             | 0
tcp.pseudo                | AFPacketeth38             | 289
tcp.invalid_checksum      | AFPacketeth38             | 0
tcp.no_flow               | AFPacketeth38             | 0
tcp.reused_ssn            | AFPacketeth38             | 19
tcp.memuse                | AFPacketeth38             | 47121120
tcp.syn                   | AFPacketeth38             | 17583
tcp.synack                | AFPacketeth38             | 6475
tcp.rst                   | AFPacketeth38             | 4221
tcp.segment_memcap_drop   | AFPacketeth38             | 160305
tcp.stream_depth_reached  | AFPacketeth38             | 0
tcp.reassembly_memuse     | AFPacketeth38             | 17179919069
tcp.reassembly_gap        | AFPacketeth38             | 102
detect.alert              | AFPacketeth38             | 40
capture.kernel_packets    | AFPacketeth39             | 1972239
capture.kernel_drops      | AFPacketeth39             | 472055
decoder.pkts              | AFPacketeth39             | 1200080
decoder.bytes             | AFPacketeth39             | 988618093
decoder.ipv4              | AFPacketeth39             | 1201643
decoder.ipv6              | AFPacketeth39             | 51488
decoder.ethernet          | AFPacketeth39             | 1200080
decoder.raw               | AFPacketeth39             | 0
decoder.sll               | AFPacketeth39             | 0
decoder.tcp               | AFPacketeth39             | 501207
decoder.udp               | AFPacketeth39             | 723229
decoder.sctp              | AFPacketeth39             | 0
